iter	Accuracy	MultiClass
0	0.9725	1.019616271
1	0.9725	0.9452463219
2	0.9725	0.8806960075
3	0.9725	0.820314688
4	0.98	0.7657401108
5	0.983	0.7181538114
6	0.979	0.675861239
7	0.9745	0.6358953364
8	0.9805	0.5974875543
9	0.978	0.5653337142
10	0.9845	0.5320706031
11	0.9865	0.5019017527
12	0.988	0.4743723915
13	0.9905	0.4484657124
14	0.9915	0.4250673035
15	0.9925	0.4043786907
16	0.9915	0.3848940144
17	0.9915	0.3651479217
18	0.9915	0.347147331
19	0.9925	0.3292066066
20	0.992	0.3139953126
21	0.992	0.2998068134
22	0.9935	0.2854980156
23	0.993	0.2728928211
24	0.995	0.2598508231
25	0.995	0.2479989527
26	0.9945	0.2382972949
27	0.995	0.2268155889
28	0.996	0.2163510878
29	0.996	0.2076148364
30	0.996	0.1980982754
31	0.996	0.1900983974
32	0.9955	0.1828096722
33	0.9955	0.1751744199
34	0.9965	0.1678406249
35	0.9965	0.1601004306
36	0.9965	0.1540960933
37	0.997	0.1476780103
38	0.997	0.142147858
39	0.997	0.1369221349
40	0.9975	0.131678344
41	0.9975	0.1269462678
42	0.9975	0.1222301181
43	0.9975	0.1178278646
44	0.9975	0.1138914623
45	0.9975	0.1095151265
46	0.9975	0.1053513797
47	0.9975	0.1017038239
48	0.998	0.09777134292
49	0.9985	0.09442407929
50	0.999	0.09085846145
51	0.999	0.0875591309
52	0.999	0.08447606072
53	0.999	0.08132334228
54	0.999	0.07824952138
55	0.999	0.07566304299
56	0.999	0.07290756237
57	0.999	0.07080590572
58	0.999	0.06825612233
59	0.999	0.06634086833
60	0.999	0.06430712723
61	0.999	0.06213590547
62	0.999	0.05991268968
63	0.999	0.0580926047
64	0.999	0.05615711194
65	0.999	0.05459738805
66	0.999	0.0529740157
67	0.999	0.05172528981
68	0.999	0.0499397103
69	0.999	0.0485343321
70	0.999	0.04713726584
71	0.999	0.04585771881
72	0.999	0.04480179953
73	0.999	0.04343793356
74	0.999	0.04229275388
75	0.999	0.04099723914
76	0.999	0.04006988617
77	0.999	0.03917180756
78	0.999	0.03801661087
79	0.999	0.03683316595
80	0.999	0.03587655661
81	0.999	0.03498412232
82	0.999	0.03413990937
83	0.999	0.0332222095
84	0.999	0.03237741066
85	0.999	0.03138774138
86	0.999	0.03058936486
87	0.999	0.02982249705
88	0.999	0.02904397391
89	0.999	0.0282486737
90	0.999	0.02767700988
91	0.999	0.02707936195
92	0.999	0.02658568967
93	0.9995	0.02586434468
94	0.9995	0.02540688726
95	0.9995	0.02483018069
96	0.9995	0.02414969261
97	0.9995	0.02351354167
98	0.9995	0.02313979706
99	0.999	0.02272159542
100	0.9995	0.02224244539
101	0.9995	0.02176814668
102	0.999	0.02135844541
103	0.9995	0.02102037279
104	0.9995	0.02041518815
105	0.9995	0.01999671542
106	0.9995	0.01959100163
107	0.9995	0.01917752994
108	0.9995	0.01880520048
109	0.9995	0.01842169917
110	0.9995	0.01812774769
111	0.9995	0.01770622169
112	0.9995	0.01737565675
113	0.9995	0.01709226153
114	0.9995	0.01681866521
115	0.9995	0.01648962387
116	0.9995	0.01621313577
117	0.9995	0.01593561266
118	0.9995	0.0156784875
119	0.9995	0.0154163747
120	0.9995	0.01514412708
121	0.9995	0.01494433427
122	0.9995	0.01471063123
123	0.9995	0.01449318619
124	0.9995	0.01434803727
125	0.9995	0.01408057213
126	0.9995	0.01384540073
127	0.9995	0.01366260691
128	0.9995	0.01346985547
129	0.9995	0.01326498732
130	0.9995	0.01309593145
131	0.9995	0.0129123884
132	0.9995	0.01275639614
133	0.9995	0.0125980307
134	0.9995	0.01245947859
135	0.9995	0.01231866666
136	0.9995	0.01218070236
137	0.9995	0.01196782844
138	0.9995	0.01179331851
139	0.9995	0.01163165957
140	0.9995	0.01150170508
141	0.9995	0.01137604531
142	0.9995	0.01122599896
143	0.9995	0.01105072097
144	0.9995	0.01086178463
145	0.9995	0.0107082055
146	0.9995	0.01060771103
147	0.9995	0.01046765788
148	0.9995	0.01034137784
149	0.9995	0.01020977969
150	0.9995	0.01010164735
151	0.9995	0.009939673576
152	0.9995	0.0098266299
153	0.9995	0.009646952845
154	0.9995	0.00950748589
155	0.9995	0.009362333951
156	0.9995	0.009208752136
157	0.9995	0.009063042999
158	0.9995	0.008953622639
159	0.9995	0.008822185382
160	0.9995	0.008718618722
161	0.9995	0.008605166125
162	0.9995	0.008511887842
163	0.9995	0.008440879599
164	0.9995	0.00836407412
165	0.9995	0.008284337833
166	0.9995	0.008203629507
167	0.9995	0.00813089067
168	0.9995	0.008059444956
169	0.9995	0.007972610709
170	0.9995	0.007867609591
171	0.9995	0.007801339517
172	0.9995	0.007726640757
173	0.9995	0.007657950027
174	0.9995	0.007547068508
175	0.9995	0.007483972205
176	0.9995	0.007406495923
177	0.9995	0.007341553038
178	0.9995	0.007283329126
179	0.9995	0.007218950935
180	0.9995	0.007143600557
181	0.9995	0.007095328104
182	0.9995	0.007050684975
183	0.9995	0.007003681522
184	0.9995	0.006940733486
185	0.9995	0.006895670046
186	0.9995	0.006843327087
187	0.9995	0.006798684415
188	0.9995	0.006719180403
189	0.9995	0.006640715013
190	0.9995	0.006592287368
191	0.9995	0.006545698955
192	0.9995	0.006492937497
193	0.9995	0.006439222216
194	0.9995	0.006379294163
195	0.9995	0.006325750331
196	0.9995	0.006252008751
197	0.9995	0.006206239274
198	0.9995	0.006132323884
199	0.9995	0.006095022877
200	0.9995	0.006035594247
201	0.9995	0.005988801985
202	0.9995	0.005944012424
203	0.9995	0.005906704526
204	0.9995	0.005874159966
205	0.9995	0.005821119333
206	0.9995	0.005760740168
207	0.9995	0.005724464804
208	0.9995	0.005666165999
209	0.9995	0.005627935374
210	0.9995	0.005588480921
211	0.9995	0.005557138975
212	0.9995	0.005511095563
213	0.9995	0.005473754169
214	0.9995	0.005438171397
215	0.9995	0.005378476368
216	0.9995	0.005349575134
217	0.9995	0.005304604145
218	0.9995	0.005251291157
219	0.9995	0.005206371037
220	0.9995	0.005147389305
221	0.9995	0.005096369177
222	0.9995	0.005075043997
223	0.9995	0.005025817188
224	0.9995	0.004983828092
225	0.9995	0.004941506006
226	0.9995	0.004905034492
227	0.9995	0.004878803107
228	0.9995	0.004850800111
229	0.9995	0.004814635299
230	0.9995	0.004776066344
231	0.9995	0.004746342156
232	0.9995	0.00470353328
233	0.9995	0.00467799928
234	0.9995	0.004628767879
235	0.9995	0.004603518968
236	0.9995	0.004548282171
237	0.9995	0.004500837589
238	0.9995	0.00447300566
239	0.9995	0.004450516906
240	0.9995	0.004434140895
241	0.9995	0.004405458973
242	0.9995	0.004381927823
243	0.9995	0.004358266907
244	0.9995	0.004316139647
245	0.9995	0.004288147437
246	0.9995	0.004266227174
247	0.9995	0.004232124351
248	0.9995	0.004209547356
249	0.9995	0.00418969377
250	0.9995	0.00415087686
251	0.9995	0.00412696962
252	0.9995	0.004097957765
253	0.9995	0.004060869941
254	0.9995	0.004032156216
255	0.9995	0.004012821784
256	0.9995	0.003993766477
257	0.9995	0.003975193826
258	0.9995	0.003954697814
259	0.9995	0.003927027724
260	0.9995	0.003899395337
261	0.9995	0.003881022292
262	0.9995	0.003851783989
263	0.9995	0.003835367554
264	0.9995	0.003806662936
265	0.9995	0.00377813115
266	0.9995	0.003760982695
267	0.9995	0.003738254543
268	0.9995	0.003721532089
269	0.9995	0.003705074479
270	0.9995	0.003675882275
271	0.9995	0.003652856355
272	0.9995	0.003613552598
273	0.9995	0.003597266768
274	0.9995	0.003584345348
275	0.9995	0.003570764388
276	0.9995	0.003554051956
277	0.9995	0.003526988063
278	0.9995	0.003507389725
279	0.9995	0.003479712731
280	0.9995	0.003464290435
281	0.9995	0.003445064205
282	0.9995	0.003435538529
283	0.9995	0.00341449509
284	0.9995	0.003391301498
285	0.9995	0.003369024934
286	0.9995	0.00334367106
287	0.9995	0.003330811395
288	0.9995	0.00330719525
289	0.9995	0.003281175563
290	0.9995	0.003266704037
291	0.9995	0.003253978353
292	0.9995	0.003242640969
293	0.9995	0.003230291786
294	0.9995	0.003214484439
295	0.9995	0.003190900427
296	0.9995	0.003177404915
297	0.9995	0.003166374033
298	0.9995	0.003147250517
299	0.9995	0.003133798402
300	0.9995	0.003104311538
301	0.9995	0.00308630295
302	0.9995	0.003075250169
303	0.9995	0.003046641204
304	0.9995	0.003029523741
305	0.9995	0.003017282045
306	0.9995	0.003001828849
307	0.9995	0.002989956338
308	0.9995	0.002985816144
309	0.9995	0.002974077714
310	0.9995	0.002960453606
311	0.9995	0.002943014626
312	0.9995	0.002933497564
313	0.9995	0.002914177875
314	0.9995	0.002902698965
315	0.9995	0.002883369367
316	0.9995	0.002872929137
317	0.9995	0.002854501976
318	0.9995	0.002844138848
319	0.9995	0.002825226517
320	0.9995	0.002812871418
321	0.9995	0.002803160657
322	0.9995	0.002793768837
323	0.9995	0.002784050054
324	0.9995	0.002768959073
325	0.9995	0.002759780763
326	0.9995	0.002745860536
327	0.9995	0.002738427061
328	0.9995	0.002730604688
329	0.9995	0.002718204983
330	0.9995	0.002702442966
331	0.9995	0.002683898204
332	0.9995	0.00266804714
333	0.9995	0.002649178799
334	0.9995	0.002631363452
335	0.9995	0.002622669689
336	0.9995	0.002610070032
337	0.9995	0.002602491205
338	0.9995	0.002592897332
339	0.9995	0.002583954559
340	0.9995	0.002571136924
341	0.9995	0.002553966821
342	0.9995	0.002546128683
343	0.9995	0.002534848987
344	0.9995	0.002524373193
345	0.9995	0.00250050342
346	0.9995	0.002492840346
347	0.9995	0.002484770711
348	0.9995	0.002477147906
349	0.9995	0.002469009708
350	0.9995	0.002462584426
351	0.9995	0.002453008873
352	0.9995	0.002446673866
353	0.9995	0.00243286185
354	0.9995	0.002425728886
355	0.9995	0.002408481931
356	1	0.002401615302
357	1	0.002389494998
358	1	0.002381298377
359	1	0.002374924371
360	1	0.00236842
361	1	0.002351206022
362	1	0.002342096448
363	1	0.002335613589
364	1	0.002328895747
365	1	0.002320232166
366	1	0.002307877572
367	1	0.002301846064
368	1	0.002295406874
369	1	0.002281904045
370	1	0.002268467816
371	1	0.002262349363
372	1	0.002256838415
373	1	0.002247013257
374	1	0.00223231003
375	1	0.002226915516
376	1	0.002220904625
377	1	0.002214535984
378	1	0.002207802215
379	1	0.002200956082
380	1	0.002194807936
381	1	0.002188786715
382	1	0.002180874412
383	1	0.002176390866
384	1	0.00216288488
385	1	0.002155696649
386	1	0.002153430724
387	1	0.00214172294
388	1	0.00213638848
389	1	0.002125415556
390	1	0.002120482999
391	1	0.002114477283
392	1	0.002110328329
393	1	0.002106098956
394	1	0.002100368734
395	1	0.002087278281
396	1	0.002085542684
397	1	0.002072946412
398	1	0.002063670272
399	1	0.002058528668
400	1	0.002053188732
401	1	0.00204816387
402	1	0.002037878257
403	1	0.002032985054
404	1	0.002021619814
405	1	0.002017907986
406	1	0.002010660242
407	1	0.001998770669
408	1	0.001993969025
409	1	0.001989567888
410	1	0.001985536296
411	1	0.001978048934
412	1	0.001974019164
413	1	0.001968754506
414	1	0.001959146177
415	1	0.001955517732
416	1	0.001944751492
417	1	0.001936145582
418	1	0.001928223771
419	1	0.001917590317
420	1	0.001913202272
421	1	0.001902226504
422	1	0.001894284491
423	1	0.00188881675
424	1	0.001885372777
425	1	0.001879678657
426	1	0.00187574845
427	1	0.001871834887
428	1	0.001860540601
429	1	0.001856789516
430	1	0.001847327531
431	1	0.0018346153
432	1	0.001828389477
433	1	0.001823591827
434	1	0.001819198549
435	1	0.001815859742
436	1	0.001803630911
437	1	0.001792228146
438	1	0.001787578778
439	1	0.001777023823
440	1	0.001768261503
441	1	0.001759807538
442	1	0.001756330866
443	1	0.001749501183
444	1	0.0017447142
445	1	0.001737682382
446	1	0.00173399231
447	1	0.001729851402
448	1	0.001726262689
449	1	0.001722612574
450	1	0.001712544203
451	1	0.001709273534
452	1	0.001705011987
453	1	0.001699555223
454	1	0.001691075999
455	1	0.001677461869
456	1	0.001669169785
457	1	0.001665547629
458	1	0.001661707026
459	1	0.001653293
460	1	0.001648577861
461	1	0.001644258253
462	1	0.001638381557
463	1	0.001635960603
464	1	0.001628346402
465	1	0.001621974633
466	1	0.001618066017
467	1	0.001612643994
468	1	0.001607693942
469	1	0.001600083152
470	1	0.001597792738
471	1	0.001588169517
472	1	0.001585451844
473	1	0.001582440906
474	1	0.001579777079
475	1	0.001577172456
476	1	0.001568555421
477	1	0.001563421504
478	1	0.001560724834
479	1	0.001557952777
480	1	0.001554844784
481	1	0.001549746227
482	1	0.001546652462
483	1	0.001543877456
484	1	0.001538271497
485	1	0.001535264899
486	1	0.001529988285
487	1	0.001526741699
488	1	0.001524061083
489	1	0.001521628023
490	1	0.001517442623
491	1	0.001514267224
492	1	0.001509665785
493	1	0.001507547893
494	1	0.001504601056
495	1	0.001502432984
496	1	0.001499674021
497	1	0.001492954855
498	1	0.001487548894
499	1	0.001479083558
