iter	Accuracy	MultiClass
0	0.9725	1.019464502
1	0.9725	0.9457620898
2	0.9725	0.8817186567
3	0.9725	0.8248331733
4	0.9725	0.771929488
5	0.9725	0.7238978244
6	0.9725	0.6816212829
7	0.9725	0.6421550701
8	0.9725	0.6049168588
9	0.9725	0.572713897
10	0.9725	0.5411805592
11	0.9725	0.5098707487
12	0.9725	0.483783433
13	0.9725	0.4596997799
14	0.9725	0.4361556628
15	0.9725	0.415505318
16	0.9725	0.3967236778
17	0.9725	0.3770804028
18	0.974	0.359501373
19	0.9725	0.3436137483
20	0.9725	0.3291308489
21	0.9725	0.3153679936
22	0.9725	0.3024670027
23	0.9745	0.2890833911
24	0.978	0.2748355353
25	0.978	0.263767102
26	0.978	0.2538070248
27	0.9795	0.243357988
28	0.978	0.2344223594
29	0.979	0.2252539399
30	0.979	0.2164770676
31	0.9805	0.207977544
32	0.9825	0.1989503907
33	0.985	0.1905595213
34	0.9855	0.1820289778
35	0.987	0.1747335862
36	0.9895	0.1679787884
37	0.99	0.160789862
38	0.9895	0.155517953
39	0.9895	0.1508987332
40	0.9895	0.1452545214
41	0.99	0.1399287315
42	0.99	0.1356386043
43	0.9895	0.1312065604
44	0.99	0.1270709202
45	0.992	0.1222115424
46	0.993	0.1180117132
47	0.993	0.1131695
48	0.993	0.1086201821
49	0.994	0.105026954
50	0.994	0.1012826821
51	0.994	0.09796420776
52	0.994	0.09431305875
53	0.994	0.09153824334
54	0.994	0.08894923823
55	0.9945	0.08555487646
56	0.995	0.08242880706
57	0.995	0.08056021818
58	0.995	0.07827375297
59	0.9945	0.07631967034
60	0.995	0.07433051312
61	0.995	0.07194972837
62	0.995	0.07016373405
63	0.995	0.06829215647
64	0.995	0.06649858856
65	0.995	0.06501534056
66	0.996	0.0631039703
67	0.9955	0.06157582804
68	0.9955	0.06016131846
69	0.9955	0.05835501725
70	0.9955	0.05679411893
71	0.9955	0.05501751253
72	0.9955	0.05386397381
73	0.9955	0.05265314808
74	0.9955	0.05152149435
75	0.995	0.05032608365
76	0.9955	0.04905748401
77	0.9955	0.04800028865
78	0.996	0.04648834057
79	0.996	0.04551745149
80	0.9965	0.0443234927
81	0.9965	0.04346986778
82	0.9965	0.04238487084
83	0.996	0.04155338844
84	0.996	0.04055782568
85	0.9965	0.03955684462
86	0.9965	0.03849083971
